地址,建物型態,訂約日期,樓別/樓高,家具,緯度,經度,備註,租金,總面積(坪),出租型態,房型,租賃期間,屋齡,主要用途
中壢區中山路４１號五樓之１,華廈(10層含以下有電梯),114/03/26,五層/十層,冷氣、熱水器、傢俱,24.955130810423736,121.22731955672518,,"5,500",12.82,獨立套房,1房1衛,1140401~1150331,31,辦公室
中壢區領航北路二段２６８號二樓之３,住宅大樓(11層含以上有電梯),114/03/31,二層/十三層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,25.00946813531449,121.20550388469665,,"23,000",55.42,整戶出租,2房2廳2衛,1140401~1150331,4,集合住宅
中壢區寧夏二街４３號,透天厝,114/03/29,全/五層,冷氣、熱水器、電視機、冰箱、有線電視、網路、傢俱,24.95147962727974,121.2355223889193,租賃建物部分範圍，且未計入共有部分面積;,"6,000",5.14,分租套房,44房44衛,1140401~1150331,37,住家用
中壢區圓光路１４２號十一樓,住宅大樓(11層含以上有電梯),114/03/31,十一層/十二層,冷氣、熱水器、洗衣機、電視機、瓦斯或天然氣、傢俱,24.995176294115748,121.19884279078371,"水電費由承租人負擔
管理費6000元由承租人自行繳納","19,000",52.82,整戶出租,3房1廳2衛,1140420~1150419,4,集合住宅
中壢區成都路３８巷１３號４樓,公寓(5樓含以下無電梯),114/03/26,四層/五層,熱水器、洗衣機、瓦斯或天然氣,24.9505475852072,121.23111384233509,,"13,000",31.30,整戶出租,3房1廳2衛,1140330~1150329,39,住家用
中壢區文化路３５０號四樓,公寓(5樓含以下無電梯),114/03/31,四層/四層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.97893681113474,121.25093750934933,續租案件;,"12,500",25.86,整戶出租,3房2廳1衛,1140415~1150414,43,住家用
中壢區高鐵北路二段８８號３樓,住宅大樓(11層含以上有電梯),114/03/25,三層/十二層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,25.01733796363905,121.22012170306378,租金總額含管理費;網路費;其他(有線電視);,"16,000",43.62,分租套房,4房4衛,1140401~1150331,2,集合住宅
中壢區五穀街３８號５樓,公寓(5樓含以下無電梯),114/03/25,五層/五層,冷氣、熱水器、洗衣機、電視機、傢俱,24.959348749168715,121.20761919095487,,"19,500",34.47,整戶出租,3房2廳2衛,1140325~1150324,43,住家用
中壢區普騰街２６巷２０號６樓,華廈(10層含以下有電梯),114/03/30,六層/六層,冷氣、熱水器、洗衣機、電視機、傢俱,24.96411262155947,121.25602777764084,續租案件;,"15,000",34.06,整戶出租,3房2廳2衛,1140428~1150427,32,住家用
中壢區華勛街１６３巷４６號３樓,華廈(10層含以下有電梯),114/03/27,三層/七層,冷氣、熱水器、電視機、冰箱、傢俱,24.950135676980903,121.26180192313295,續租案件;,"13,500",27.66,整戶出租,3房2廳1衛,1140501~1150430,31,住家用
中壢區實踐路２２５號六樓之１２,華廈(10層含以下有電梯),114/03/31,六層/十層,冷氣、熱水器、冰箱,24.95719895851164,121.23845477000322,,"5,900",8.49,獨立套房,1房1衛,1140610~1150609,21,住家用
中壢區實踐路２２５號六樓之１１,華廈(10層含以下有電梯),114/03/31,六層/十層,冷氣、熱水器、電視機、傢俱,24.95719895851164,121.23845477000322,,"6,000",8.79,獨立套房,1房1衛,1140515~1150514,21,住家用
中壢區長樂五街２１號六樓,華廈(10層含以下有電梯),114/03/31,六層/七層,冷氣、熱水器、傢俱,24.9758159454901,121.2491879190239,,"15,000",30.10,整戶出租,2房1廳1衛,1140401~1150331,32,住家用
中壢區中山東路三段３３１巷３６號,透天厝,114/03/31,全/一層,冷氣、熱水器、瓦斯或天然氣,24.941294835646577,121.25252476251536,,"13,000",18.12,整戶出租,3房1廳1衛,1140410~1150209,50,住家用
中壢區興仁路二段９９號４樓之９,華廈(10層含以下有電梯),114/03/31,四層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.57,獨立套房,1房1衛,1140425~1150424,19,住家用
中壢區興仁路二段９９號９樓之７,華廈(10層含以下有電梯),114/03/31,九層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.58,獨立套房,1房1衛,1140408~1150407,19,住家用
中壢區興仁路二段９９號８樓之３８,華廈(10層含以下有電梯),114/03/31,八層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.57,獨立套房,1房1衛,1140401~1150331,19,住家用
中壢區興仁路二段９９號３樓之７,華廈(10層含以下有電梯),114/03/31,三層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.58,獨立套房,1房1衛,1140410~1150409,19,住家用
中壢區興仁路二段９９號８樓之６５,華廈(10層含以下有電梯),114/03/31,八層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",10.46,獨立套房,1房1衛,1140405~1150404,19,住家用
中壢區興仁路二段９９號４樓之５２,華廈(10層含以下有電梯),114/03/31,四層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.57,獨立套房,1房1衛,1140410~1150409,19,住家用
中壢區興仁路二段９９號６樓之４０,華廈(10層含以下有電梯),114/03/31,六層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.60,獨立套房,1房1衛,1140415~1150414,19,住家用
中壢區興仁路二段９９號６樓之３６,華廈(10層含以下有電梯),114/03/31,六層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.60,獨立套房,1房1衛,1140401~1150331,19,住家用
中壢區興仁路二段９９號５樓之５１,華廈(10層含以下有電梯),114/03/31,五層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.57,獨立套房,1房1衛,1140415~1150414,19,住家用
中壢區興仁路二段９９號５樓之５２,華廈(10層含以下有電梯),114/03/31,五層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.57,獨立套房,1房1衛,1140507~1150506,19,住家用
中壢區興仁路二段９９號１０樓之５０,華廈(10層含以下有電梯),114/03/31,十層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.60,獨立套房,1房1衛,1140425~1150424,19,住家用
中壢區興仁路二段９９號８樓之１,華廈(10層含以下有電梯),114/03/31,八層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.73,獨立套房,1房1衛,1140425~1150424,19,住家用
中壢區興仁路二段９９號７樓之６３,華廈(10層含以下有電梯),114/03/31,七層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.58,獨立套房,1房1衛,1140401~1150331,19,住家用
中壢區環西路二段２８８號１０樓,住宅大樓(11層含以上有電梯),114/03/31,十層/十五層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,24.96461428155796,121.21261963915508,,"18,000",42.29,整戶出租,3房1廳2衛,1140401~1150331,14,集合住宅
中壢區慈惠三街３８號２樓,公寓(5樓含以下無電梯),114/03/31,二層/五層,熱水器,24.961057620684343,121.22456730665647,續租案件;,"9,000",26.02,整戶出租,3房1廳1衛,1140426~1150425,42,住家用
中壢區中美路二段１０３號十八樓之１,住宅大樓(11層含以上有電梯),114/03/30,十八層/十九層,冷氣、熱水器、洗衣機、電視機、冰箱,24.959419050656415,121.22149422499602,"管理費另計4000元
機車位另計0元續租案件;","20,500",51.45,整戶出租,2房2廳1衛,1140501~1150430,2,集合住宅
中壢區機捷路二段８１６之１號２樓,華廈(10層含以下有電梯),114/03/28,二層/九層,冷氣、熱水器、瓦斯或天然氣、傢俱,25.081233368244476,121.28743836262304,管理費、停車費、水電費、瓦斯費由承租人負擔,"21,300",32.54,整戶出租,3房2廳2衛,1140420~1150419,3,住家用
中壢區新生路２７８-３號,住宅大樓(11層含以上有電梯),114/03/01,一層/十五層,冷氣,24.963478613271747,121.22364073283792,,"22,500",13.36,,,1140301~1170228,27,一般零售業、儲藏室
中壢區新生路２７８-５號,住宅大樓(11層含以上有電梯),114/03/01,一層/十五層,冷氣,24.963478613271747,121.22364073283792,,"22,500",13.39,,3房1廳2衛,1140301~1170228,27,一般零售業、儲藏室
中壢區永平街２３號一樓,店面（店舖),114/03/11,一層/五層,,25.00686984680561,121.20414224950206,冷氣2台，監視器4台，製冰器一台，飲水機一台，監視機主機一台,"37,000",15.16,,1衛,1140318~1150317,17,住宅、停車空間
中壢區仁德四街３２號,店面（店舖),114/03/16,一層/七層,冷氣、熱水器,24.952824680862413,121.26262956008482,,"12,000",15.71,,1房1廳1衛,1140401~1150331,28,商業用
中壢區九和一街１８號８樓之３,住宅大樓(11層含以上有電梯),114/03/19,八層/二十二層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,24.96151971746575,121.22346882945486,多人共同承租3;租金總額含管理費;租賃建物部分範圍，且未計入共有部分面積;,"37,000",38.67,整戶出租,4房2廳2衛,1140401~1150331,24,集合住宅
中壢區九和一街１號１６之１８,住宅大樓(11層含以上有電梯),114/03/12,十六層/二十二層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.962160901784895,121.22335114160943,租金總額含管理費;,"13,800",6.97,獨立套房,1房1衛,1140315~1150314,17,住家用
中壢區青埔二街１３２巷１１號,透天厝,114/03/22,全/五層,冷氣、熱水器、瓦斯或天然氣,25.007180315666268,121.22065841115096,租金總額含管理費;,"38,000",77.72,整戶出租,4房3廳3衛,1140415~1150414,19,見使用執照
中壢區後興路一段１７７號１０樓,住宅大樓(11層含以上有電梯),114/03/31,十層/十三層,冷氣、熱水器、洗衣機、冰箱、傢俱,24.94125213282038,121.24566251193275,租金總額含管理費;,"19,000",35.37,整戶出租,3房2廳2衛,1140410~1150409,29,住家用
中壢區文智路１５０號５樓,住宅大樓(11層含以上有電梯),114/03/19,五層/十二層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,25.00163687048505,121.20815582962182,租金總額含管理費;,"35,000",65.09,整戶出租,4房2廳2衛,1140405~1190404,14,集合住宅
中壢區後興路一段１０８號,華廈(10層含以下有電梯),114/03/21,一層/九層,瓦斯或天然氣,24.942386449126207,121.24763529992401,,"13,150",21.69,整戶出租,,1140501~1170430,25,店舖、停車空間
中壢區長樂街８５巷７號一樓,公寓(5樓含以下無電梯),114/03/10,一層/四層,冷氣、熱水器、洗衣機,24.975868207696273,121.25032708564378,,"27,000",20.10,分層出租,3房2廳2衛,1140310~1150309,45,住家用
中壢區華安路４４號四樓,華廈(10層含以下有電梯),114/02/01,四層/七層,冷氣、熱水器、洗衣機、冰箱、傢俱,24.950135676980903,121.26180192313295,水電費及管理費每月 500 元 由承租人負擔,"10,000",33.96,整戶出租,3房2廳2衛,1140205~1150204,31,住家用
中壢區大智街１０號四樓之９２,公寓(5樓含以下無電梯),114/02/01,四層/五層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.95333988533667,121.24091320489742,社會住宅 水電費 管理費500元由承租人負擔,"10,000",11.87,獨立套房,1房1衛,1140201~1150131,36,住家用
中壢區振興街１４０號四樓之１０,華廈(10層含以下有電梯),114/02/02,四層/七層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.953780551649228,121.24198359901143,社會住宅 水電費 管理費400元由承租人負擔續租案件;,"6,500",8.73,獨立套房,1房1衛,1140315~1150314,36,住家用
中壢區龍安五街１４６號８樓之２,華廈(10層含以下有電梯),114/02/01,八層/八層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、傢俱,24.942107653738873,121.24698119864603,水費、電費、瓦斯費、網路費及每月管理費500元整由承租人負擔。,"11,500",18.22,獨立套房,1房1衛,1140201~1150131,21,住家用
中壢區中園路３６之１６號九樓,住宅大樓(11層含以上有電梯),114/02/03,九層/二十三層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.965543674838784,121.23689610200024,社會住宅 管理費1300元 水電費  網路費由承租人負擔,"15,700",16.94,獨立套房,1房1廳1衛,1140203~1150202,15,住家用
中壢區中山東路二段１５６號五樓,公寓(5樓含以下無電梯),114/02/03,五層/五層,冷氣、熱水器、傢俱,24.952800625381762,121.23939699058779,,"11,200",25.14,整戶出租,3房1廳1衛,1140221~1150220,39,住家用
中壢區環中東路２４１號十二樓之１１,住宅大樓(11層含以上有電梯),114/02/04,十二層/十四層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.963315721334457,121.25741267119292,"水電費 由承租人負擔 
管理費788元 由出租人負擔","11,212",23.17,獨立套房,1房1衛,1140216~1150215,26,辦公室
中壢區中美路一段１８號十一樓之１８,住宅大樓(11層含以上有電梯),114/02/01,十一層/十八層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.95999365795729,121.22364433940538,每月管理費600元由出租人負擔，租金已扣除。,"7,400",10.60,獨立套房,1房1衛,1140201~1150131,27,住家用
中壢區文化二路２９３號九樓,住宅大樓(11層含以上有電梯),114/02/05,九層/十二層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,24.977782208111126,121.25033095954676,社會住宅 水電費 管理費2200元 瓦斯費由承租人負擔,"17,800",34.60,整戶出租,3房2廳2衛,1140205~1150204,19,集合住宅、設備空間
中壢區華安路３０號,華廈(10層含以下有電梯),114/02/03,見其他登記事項/七層,冷氣、熱水器、瓦斯或天然氣、傢俱,24.950135676980903,121.26180192313295,管理費另計500元由承租人負擔續租案件;,"12,000",29.81,整戶出租,3房2廳2衛,1140220~1150219,31,住宅、店舖、儲藏室
中壢區功學社新村５５之３號,公寓(5樓含以下無電梯),114/02/01,四層/四層,熱水器、瓦斯或天然氣,24.954210122902502,121.25507640062891,社會住宅 水電費由承租人負擔,"6,000",23.88,整戶出租,3房1廳1衛,1140201~1150131,48,住家用
中壢區執信一街１７３之６號五樓,華廈(10層含以下有電梯),114/02/04,五層/九層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.944640163478592,121.22709234981414,社會住宅 水電費 管理費600元 瓦斯費由承租人負擔,"9,900",11.06,獨立套房,1房1衛,1140205~1150204,26,住家用
中壢區中山東路三段２４９號３樓之１,華廈(10層含以下有電梯),114/02/01,三層/五層,冷氣、熱水器、冰箱、傢俱,24.942065352443993,121.25069443068948,水費、電費、瓦斯費、網路費由承租人負擔。,"6,000",7.18,獨立套房,1房1衛,1140201~1150131,18,住家用
中壢區中北路二段２１２號三樓,住宅大樓(11層含以上有電梯),114/02/05,三層/十四層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.952636835793644,121.22872120834106,"此為（桃園市∕國家住宅及都市更新中心）社會住宅包租代管計畫之物件，評定市價租金為__13751______元，因選擇（包租）方案須打___8___折且簽約租金無條件捨去至百分位，實際租賃契約金額__11000______元。」
每個月管理費1000元由承租人負擔","11,000",18.97,獨立套房,1房1衛,1140210~1150209,23,住家用
中壢區興仁路二段４２８巷１５之２號三樓,華廈(10層含以下有電梯),114/02/01,三層/五層,冷氣、熱水器、洗衣機、冰箱,24.96149031770723,121.26353928024271,,"17,500",27.03,整戶出租,3房1廳2衛,1140201~1150131,30,住家用
中壢區致祥一街２３２巷１９號２樓,公寓(5樓含以下無電梯),114/02/05,二層/五層,冷氣、熱水器、洗衣機、冰箱、傢俱,25.00985139950921,121.21538242231998,,"20,000",27.03,整戶出租,3房1廳1衛,1140205~1150204,29,住家用
中壢區中山東路三段２４９號５樓之３,華廈(10層含以下有電梯),114/02/01,五層/五層,冷氣、熱水器、傢俱,24.942065352443993,121.25069443068948,水費、電費、瓦斯費、網路費由承租人負擔。,"6,000",6.72,獨立套房,1房1衛,1140201~1150131,18,住家用
中壢區五族街１９９號五樓,華廈(10層含以下有電梯),114/02/04,五層/七層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.956481517344383,121.21133804072505,管理費每個月500元整、水費、電費皆由承租人負擔,"12,000",15.44,獨立套房,1房1衛,1140220~1150219,28,住家用
中壢區正大街６２號十一樓,住宅大樓(11層含以上有電梯),114/02/05,十一層/十五層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,24.959090397772673,121.2051131575783,社會住宅  管理費1600  水電費 由承租人負擔,"14,400",31.16,整戶出租,2房1廳1衛,1140210~1150209,19,住家用
中壢區中央西路一段１１號七樓之一,住宅大樓(11層含以上有電梯),114/02/05,七層/十二層,冷氣、熱水器、洗衣機、冰箱、傢俱,24.957213846284645,121.22301540290267,,"6,500",7.74,獨立套房,1房1衛,1140205~1150204,43,住家用
中壢區新中北路６１號三樓,華廈(10層含以下有電梯),114/02/05,三層/五層,冷氣、熱水器、電視機、傢俱,24.957175469545852,121.23619675164656,該房編為3樓。,"7,000",8.43,分租套房,8房8衛,1140228~1150227,24,住家用
中壢區中北路１６號五樓,公寓(5樓含以下無電梯),114/02/05,五層/五層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,24.95564104246738,121.23594624235874,續租案件;,"12,000",31.21,整戶出租,3房1廳2衛,1140310~1150309,44,住家用
中壢區延平路４９８號八樓之二,住宅大樓(11層含以上有電梯),114/02/05,八層/十二層,冷氣、熱水器、洗衣機、冰箱、傢俱,24.95703286807451,121.22329237167008,管理費900元  水電費 由承租人負擔,"12,300",13.25,獨立套房,1房1衛,1140205~1150204,32,住家用
中壢區環西路二段２４０號三樓,公寓(5樓含以下無電梯),114/02/03,三層/三層,冷氣、熱水器、洗衣機、電視機、冰箱,24.964452679267993,121.21197560253317,,"16,000",20.22,整戶出租,2房1廳2衛,1140204~1150203,50,住家用
中壢區振興街１４０號５樓之３０,華廈(10層含以下有電梯),114/02/05,五層/七層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.953780551649228,121.24198359901143,管理費436由出租人負擔,"4,564",8.72,獨立套房,1房1衛,1140215~1150214,36,住家用
中壢區中美路二段１０５號十一樓,住宅大樓(11層含以上有電梯),114/02/06,十一層/十九層,冷氣、熱水器、洗衣機、電視機、傢俱,24.959419050656415,121.22149422499602,管理費2400元 水電費 由承租人負擔,"23,000",19.50,整戶出租,2房1廳1衛,1140301~1150228,1,集合住宅
中壢區後寮一路１４８巷９號三樓,華廈(10層含以下有電梯),114/02/01,三層/十層,冷氣、熱水器、冰箱、瓦斯或天然氣、傢俱,24.940394319231675,121.24574002726635,水電費/瓦斯費及管理費每月 2000 元 由承租人負擔,"16,000",49.41,整戶出租,3房2廳2衛,1140201~1150131,27,住家用
中壢區中央西路二段１５２號十二樓之９,住宅大樓(11層含以上有電梯),114/02/01,十二層/十二層,熱水器,24.959348950093467,121.21385844441095,"水電費由承租人負擔
管理費 800 元 由出租人負擔","8,200",13.74,獨立套房,1房1衛,1140201~1150131,32,住家用
中壢區青商路２７１號１４樓,住宅大樓(11層含以上有電梯),114/02/05,十四層/十五層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,25.009392493380446,121.22049393468437,管理費另計2100元由承租人負擔,"20,900",28.22,整戶出租,2房1廳1衛,1140209~1150208,4,集合住宅
中壢區金鋒五街５５之２號５樓,住宅大樓(11層含以上有電梯),114/02/05,五層/十二層,冷氣、熱水器、瓦斯或天然氣、傢俱,24.94601272139582,121.24952402335796,管理費另計1900元由承租人負擔,"20,100",43.97,整戶出租,3房2廳2衛,1140215~1150214,30,住家用
中壢區華美三路３５５號９樓之１,住宅大樓(11層含以上有電梯),114/02/07,九層/十四層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.945554150570704,121.25899974727771,未租賃車位，建物登記含有車位面積;,"14,000",48.60,整戶出租,3房1廳1衛,1140301~1150228,8,集合住宅
中壢區榮安一街３２６號九樓之１２,住宅大樓(11層含以上有電梯),114/02/05,九層/十四層,冷氣、熱水器、洗衣機、電視機、瓦斯或天然氣、傢俱,24.96412863349824,121.25720637937604,社會住宅,"15,000",19.43,獨立套房,1房1廳1衛,1140205~1150204,24,住家用
中壢區九和一街１號４樓之７,住宅大樓(11層含以上有電梯),114/02/08,四層/二十二層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、傢俱,24.962160901784895,121.22335114160943,水費、電費、瓦斯費、網路費及每月管理費699元整由承租人負擔。,"14,500",13.98,獨立套房,1房1衛,1140208~1150207,17,住家用
中壢區吉林路９９巷１８號二樓,公寓(5樓含以下無電梯),114/02/07,二層/四層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,24.982794576956618,121.249360468232,社會住宅 水電費由承租人負擔,"15,000",18.51,整戶出租,3房2廳2衛,1140210~1150209,44,住家用
中壢區中山東路三段３２３號八樓,華廈(10層含以下有電梯),114/02/06,八層/八層,冷氣、熱水器、瓦斯或天然氣、傢俱,24.941295690559272,121.25201975645369,每月管理費2988元由承租人負擔，未計入租金。未租賃車位，建物登記含有車位面積;,"20,500",47.69,整戶出租,3房2廳2衛,1140210~1150209,17,住家用
中壢區中央西路一段１１號１１樓之９,住宅大樓(11層含以上有電梯),114/02/07,十一層/十二層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.957213846284645,121.22301540290267,"此為 國家住宅及都市更新中心 社會住宅包租代管計畫之物件，評定市價租金為10001 元，因選擇代管方案須打9折且簽約租金無條件捨去至百分位，實際租賃契約金額 9000元。
另有管理費1000元，由承租人負擔。","9,000",11.71,獨立套房,1房1衛,1140210~1150209,43,住家用
中壢區林森路１０８號６樓之２,華廈(10層含以下有電梯),114/02/08,六層/八層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.9449031613064,121.22632044369328,管理費另計1000元由承租人負擔續租案件;,"8,700",11.38,獨立套房,1房1衛,1140301~1150228,27,住家用
中壢區龍岡路三段３７巷１２號九樓,住宅大樓(11層含以上有電梯),114/02/01,九層/十五層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.938248889727106,121.23240784596271,水電費/瓦斯費及管理費每月 1400 元 由承租人負擔續租案件;,"13,600",27.49,整戶出租,2房2廳1衛,1140201~1150131,8,集合住宅
中壢區榮安十五街７７之２號七樓,住宅大樓(11層含以上有電梯),114/02/07,七層/十一層,冷氣、熱水器、瓦斯或天然氣、傢俱,24.960315140443008,121.25923860246647,管理費1300 元水電費 由承租人負擔,"18,000",35.43,整戶出租,3房2廳1衛,1140216~1150215,31,住家用
中壢區福星七街１１之７號三樓,華廈(10層含以下有電梯),114/02/01,三層/八層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.96687777594173,121.2325012052819,水電費/瓦斯費及管理費每月 1300 元 由承租人負擔續租案件;,"15,000",33.98,整戶出租,3房2廳1衛,1140201~1150131,30,住家用
中壢區中園路二段１３５巷３弄１３號,透天厝,114/02/01,全/二層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.991803031585132,121.23380615385285,多人共同承租2;租金總額含管理費;水費;網路費;含增建或未登記建物;,"9,700",5.38,分租套房,10房9衛,1140201~1150131,36,住家用
中壢區大智街１０號四樓之７６,公寓(5樓含以下無電梯),114/02/08,四層/五層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.95333988533667,121.24091320489742,社會住宅 水電費 管理費400元由承租人負擔,"7,500",8.90,獨立套房,1房1衛,1140210~1150209,36,住家用
中壢區龍城新村１５０號,透天厝,114/02/07,全/二層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.933558244396938,121.25737062897562,水電費由承租人負擔,"16,000",22.87,整戶出租,4房2廳3衛,1140211~1170210,46,住家用
中壢區振興街１４０號五樓之３,華廈(10層含以下有電梯),114/02/09,五層/七層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.953780551649228,121.24198359901143,社會住宅 水電費 管理費300元由承租人負擔,"6,200",8.50,獨立套房,1房1衛,1140210~1150209,36,住家用
中壢區春德路２５９號十五樓,住宅大樓(11層含以上有電梯),114/02/01,十五層/十五層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,25.01395621676073,121.21123815070807,水電費/瓦斯費及管理費每月 2500 元 由承租人負擔,"19,500",35.76,整戶出租,3房2廳1衛,1140201~1150131,5,集合住宅
中壢區環中東路二段１４８號,透天厝,114/02/07,全/五層,冷氣、熱水器、電視機、冰箱、有線電視、網路、傢俱,24.949608209555695,121.23712308088656,續租案件;,"9,000",4.80,分租套房,15房15衛,1140217~1140316,30,店舖、住宅、自用儲藏室
中壢區新興路２３０巷５０號十一樓,住宅大樓(11層含以上有電梯),114/02/10,十一層/十五層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.95342315413722,121.22816808757939,水電費及管理費每月 2000 元 由承租人負擔續租案件;,"18,000",38.82,整戶出租,2房1廳2衛,1140215~1150214,13,集合住宅
中壢區元化路９５巷１８之３號,公寓(5樓含以下無電梯),114/02/09,四層/四層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.95854150249891,121.22865288932846,社會住宅 水電費 瓦斯費由承租人負擔,"15,000",24.93,整戶出租,4房3廳2衛,1140209~1150208,54,住家用
中壢區延平路４９８號九樓之八,住宅大樓(11層含以上有電梯),114/02/08,九層/十二層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.95703286807451,121.22329237167008,每月管理費650元由出租人負擔，租金已扣除。,"6,350",7.71,獨立套房,1房1廳1衛,1140208~1150207,32,住家用
中壢區新中北路６１號四樓,華廈(10層含以下有電梯),114/02/07,四層/五層,冷氣、熱水器、電視機、冰箱、傢俱,24.957175469545852,121.23619675164656,該房編為4樓之1,"7,000",8.30,分租套房,8房8衛,1140309~1150308,24,住家用
中壢區興仁路三段７８巷１６號,透天厝,114/02/06,全/一層,熱水器、瓦斯或天然氣、傢俱,24.95442978596621,121.26373221543237,社會住宅,"7,000",16.29,整戶出租,2房1廳1衛,1140206~1150205,51,住家用
中壢區龍岡路一段１８４巷１６號,透天厝,114/02/07,全/二層,冷氣、熱水器、瓦斯或天然氣、傢俱,24.947894552668334,121.22434537919837,社會住宅,"15,000",31.22,整戶出租,4房1廳2衛,1140315~1150314,56,住家用
中壢區榮安一街３２６號九樓之９,住宅大樓(11層含以上有電梯),114/02/08,九層/十四層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.96412863349824,121.25720637937604,管理費每個月1000元整、水費、電費、瓦斯費皆由承租人負擔未租賃車位，建物登記含有車位面積;,"13,000",28.76,獨立套房,1房1衛,1140208~1150207,24,住家用
中壢區中山東路三段１３２號七樓,住宅大樓(11層含以上有電梯),114/02/10,七層/十四層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.94339590772272,121.2486671554466,社會住宅,"24,000",38.46,整戶出租,2房1廳1衛,1140210~1150209,2,集合住宅
中壢區環中東路二段３１２巷３號六樓之２,住宅大樓(11層含以上有電梯),114/02/10,六層/十四層,熱水器、瓦斯或天然氣,24.948672045473213,121.2353685084589,社會住宅  管理費1340+水電費由承租人負擔,"13,000",33.65,整戶出租,3房2廳2衛,1140301~1150228,26,住家用
